"","Country","Tag","StandardizedAmount"
"162","New Zealand","Transit",0.468875
"163","New Zealand","Food",24.435345
"164","New Zealand","Sim",0.605
"165","New Zealand","Taxi",1.5125
"166","New Zealand","Massage",0
"167","New Zealand","Bus",11.6834575
"168","New Zealand","Accommodation",14.5499475
"169","New Zealand","Internet",0.075625
"170","New Zealand","Laundry",0.4764375
"171","New Zealand","Tour",0
"172","New Zealand","Supplies",13.04395125
"173","New Zealand","Rental",2.662
"174","New Zealand","Alcohol",0
"175","New Zealand","Fees",0.2798125
"176","New Zealand","Gas",0.9075
"177","New Zealand","Entry",0
"178","New Zealand","ATM",0
"179","New Zealand","Gym",0.529375
"180","New Zealand","Bathroom",0
"181","New Zealand","Gambling",0
"182","New Zealand","Tip",0
"183","New Zealand","Gift",0
"184","New Zealand","",0
"185","India","Transit",0.013572
"186","India","Food",7.17159057142857
"187","India","Sim",0.1404
"188","India","Taxi",1.278576
"189","India","Massage",0
"190","India","Bus",3.38421371428571
"191","India","Accommodation",7.414056
"192","India","Internet",0.2106
"193","India","Laundry",0.27144
"194","India","Tour",2.8548
"195","India","Supplies",0.158652
"196","India","Rental",0
"197","India","Alcohol",0
"198","India","Fees",0.756405714285714
"199","India","Gas",0
"200","India","Entry",0.6084
"201","India","ATM",0.118057142857143
"202","India","Gym",0.5148
"203","India","Bathroom",0
"204","India","Gambling",0.1404
"205","India","Tip",0.01872
"206","India","Gift",0.073476
"207","India","",0
"208","Nepal","Transit",0.00469545454545455
"209","Nepal","Food",13.6841196969697
"210","Nepal","Sim",0
"211","Nepal","Taxi",1.11125757575758
"212","Nepal","Massage",0.500848484848485
"213","Nepal","Bus",0.187818181818182
"214","Nepal","Accommodation",2.35711818181818
"215","Nepal","Internet",0
"216","Nepal","Laundry",0.125212121212121
"217","Nepal","Tour",15.495
"218","Nepal","Supplies",0.953177272727273
"219","Nepal","Rental",1.74670909090909
"220","Nepal","Alcohol",0
"221","Nepal","Fees",2.18251515151515
"222","Nepal","Gas",0.190948484848485
"223","Nepal","Entry",0.959090909090909
"224","Nepal","ATM",0.500848484848485
"225","Nepal","Gym",0.0939090909090909
"226","Nepal","Bathroom",0
"227","Nepal","Gambling",0
"228","Nepal","Tip",1.26918909090909
"229","Nepal","Gift",0.0469545454545455
"230","Nepal","",0
"231","Jordan","Transit",0.4351125
"232","Jordan","Food",10.97191
"233","Jordan","Sim",0
"234","Jordan","Taxi",1.7029525
"235","Jordan","Massage",0
"236","Jordan","Bus",1.662625
"237","Jordan","Accommodation",7.251875
"238","Jordan","Internet",0
"239","Jordan","Laundry",0.4775625
"240","Jordan","Tour",1.415
"241","Jordan","Supplies",0.3113
"242","Jordan","Rental",0
"243","Jordan","Alcohol",0
"244","Jordan","Fees",3.5375
"245","Jordan","Gas",0
"246","Jordan","Entry",4.45725
"247","Jordan","ATM",0.007075
"248","Jordan","Gym",0.283
"249","Jordan","Bathroom",0
"250","Jordan","Gambling",0
"251","Jordan","Tip",0
"252","Jordan","Gift",0.3679
"253","Jordan","",0
"254","West Bank","Transit",1.84989
"255","West Bank","Food",10.7623
"256","West Bank","Sim",0
"257","West Bank","Taxi",1.3405
"258","West Bank","Massage",0
"259","West Bank","Bus",2.1831
"260","West Bank","Accommodation",21.7927
"261","West Bank","Internet",0
"262","West Bank","Laundry",0.8426
"263","West Bank","Tour",0
"264","West Bank","Supplies",0
"265","West Bank","Rental",0
"266","West Bank","Alcohol",0
"267","West Bank","Fees",0.5745
"268","West Bank","Gas",0
"269","West Bank","Entry",0
"270","West Bank","ATM",0
"271","West Bank","Gym",0
"272","West Bank","Bathroom",0.0383
"273","West Bank","Gambling",0
"274","West Bank","Tip",0
"275","West Bank","Gift",0.1532
"276","West Bank","",0
"277","Israel","Transit",0.790895
"278","Israel","Food",11.809805
"279","Israel","Sim",0
"280","Israel","Taxi",0
"281","Israel","Massage",0
"282","Israel","Bus",7.4062625
"283","Israel","Accommodation",8.59595625
"284","Israel","Internet",0
"285","Israel","Laundry",0
"286","Israel","Tour",0
"287","Israel","Supplies",0
"288","Israel","Rental",0
"289","Israel","Alcohol",0
"290","Israel","Fees",5.76415
"291","Israel","Gas",0
"292","Israel","Entry",0.1005375
"293","Israel","ATM",0
"294","Israel","Gym",0
"295","Israel","Bathroom",0
"296","Israel","Gambling",0
"297","Israel","Tip",0
"298","Israel","Gift",0
"299","Israel","",0
"300","Egypt","Transit",0.091695652173913
"301","Egypt","Food",7.12475217391304
"302","Egypt","Sim",0
"303","Egypt","Taxi",0.91695652173913
"304","Egypt","Massage",0
"305","Egypt","Bus",2.00202173913043
"306","Egypt","Accommodation",4.9741597826087
"307","Egypt","Internet",0
"308","Egypt","Laundry",0.21395652173913
"309","Egypt","Tour",0
"310","Egypt","Supplies",0.77024347826087
"311","Egypt","Rental",0.611304347826087
"312","Egypt","Alcohol",0
"313","Egypt","Fees",0.97654347826087
"314","Egypt","Gas",0
"315","Egypt","Entry",1.83696956521739
"316","Egypt","ATM",0
"317","Egypt","Gym",0.366782608695652
"318","Egypt","Bathroom",0.0473760869565217
"319","Egypt","Gambling",0
"320","Egypt","Tip",0.163685652173913
"321","Egypt","Gift",0.336217391304348
"322","Egypt","",0
"323","Turkey","Transit",1.77384727272727
"324","Turkey","Food",13.5269159090909
"325","Turkey","Sim",0.999090909090909
"326","Turkey","Taxi",0.119890909090909
"327","Turkey","Massage",1.71843636363636
"328","Turkey","Bus",7.24340909090909
"329","Turkey","Accommodation",11.2612118181818
"330","Turkey","Internet",0
"331","Turkey","Laundry",0.149863636363636
"332","Turkey","Tour",5.59490909090909
"333","Turkey","Supplies",8.43508445454545
"334","Turkey","Rental",1.18725
"335","Turkey","Alcohol",0.279745454545455
"336","Turkey","Fees",0.430272727272727
"337","Turkey","Gas",0.999090909090909
"338","Turkey","Entry",2.76048636363636
"339","Turkey","ATM",0
"340","Turkey","Gym",0.719345454545455
"341","Turkey","Bathroom",0.0399636363636364
"342","Turkey","Gambling",-7.74395363636364
"343","Turkey","Tip",0
"344","Turkey","Gift",0.220799090909091
"345","Turkey","",0.0299727272727273
"346","Germany","Transit",4.04015625
"347","Germany","Food",5.565909375
"348","Germany","Sim",0
"349","Germany","Taxi",0
"350","Germany","Massage",0
"351","Germany","Bus",7.6890625
"352","Germany","Accommodation",11.254375
"353","Germany","Internet",0
"354","Germany","Laundry",0
"355","Germany","Tour",0
"356","Germany","Supplies",0
"357","Germany","Rental",0
"358","Germany","Alcohol",0.7921875
"359","Germany","Fees",0.1584375
"360","Germany","Gas",0
"361","Germany","Entry",0
"362","Germany","ATM",0
"363","Germany","Gym",0
"364","Germany","Bathroom",0.2851875
"365","Germany","Gambling",7.921875
"366","Germany","Tip",0
"367","Germany","Gift",0
"368","Germany","",0
"369","Czech Republic","Transit",0.74304
"370","Czech Republic","Food",13.139136
"371","Czech Republic","Sim",0
"372","Czech Republic","Taxi",2.7072
"373","Czech Republic","Massage",0
"374","Czech Republic","Bus",0.52416
"375","Czech Republic","Accommodation",10.33344
"376","Czech Republic","Internet",0
"377","Czech Republic","Laundry",1.82016
"378","Czech Republic","Tour",0
"379","Czech Republic","Supplies",2.12544
"380","Czech Republic","Rental",0
"381","Czech Republic","Alcohol",1.31904
"382","Czech Republic","Fees",0
"383","Czech Republic","Gas",0
"384","Czech Republic","Entry",1.0368
"385","Czech Republic","ATM",0
"386","Czech Republic","Gym",1.8432
"387","Czech Republic","Bathroom",0
"388","Czech Republic","Gambling",0
"389","Czech Republic","Tip",0
"390","Czech Republic","Gift",2.90304
"391","Czech Republic","",0
"392","England","Transit",6.70416666666667
"393","England","Food",18.9432933333333
"394","England","Sim",0
"395","England","Taxi",3.48616666666667
"396","England","Massage",0
"397","England","Bus",9.38583333333333
"398","England","Accommodation",0
"399","England","Internet",0
"400","England","Laundry",0
"401","England","Tour",0
"402","England","Supplies",0
"403","England","Rental",0
"404","England","Alcohol",0
"405","England","Fees",0
"406","England","Gas",0
"407","England","Entry",0
"408","England","ATM",0
"409","England","Gym",0
"410","England","Bathroom",0
"411","England","Gambling",0
"412","England","Tip",0
"413","England","Gift",0
"414","England","",0
"415","France","Transit",0.60333
"416","France","Food",20.833644
"417","France","Sim",0
"418","France","Taxi",0
"419","France","Massage",0
"420","France","Bus",12.13758
"421","France","Accommodation",9.912864
"422","France","Internet",0
"423","France","Laundry",0.507
"424","France","Tour",0
"425","France","Supplies",0.88725
"426","France","Rental",0
"427","France","Alcohol",0
"428","France","Fees",0
"429","France","Gas",0
"430","France","Entry",0
"431","France","ATM",0
"432","France","Gym",1.2675
"433","France","Bathroom",0.04563
"434","France","Gambling",0
"435","France","Tip",0
"436","France","Gift",0
"437","France","",0
"438","Norway","Transit",2.8644
"439","Norway","Food",25.6461333333333
"440","Norway","Sim",0
"441","Norway","Taxi",0
"442","Norway","Massage",0
"443","Norway","Bus",29.9591933333333
"444","Norway","Accommodation",15.708
"445","Norway","Internet",0.308
"446","Norway","Laundry",0.616
"447","Norway","Tour",0
"448","Norway","Supplies",0.811066666666667
"449","Norway","Rental",0
"450","Norway","Alcohol",0
"451","Norway","Fees",0
"452","Norway","Gas",0
"453","Norway","Entry",0
"454","Norway","ATM",0
"455","Norway","Gym",0
"456","Norway","Bathroom",0.513333333333333
"457","Norway","Gambling",0
"458","Norway","Tip",0
"459","Norway","Gift",0
"460","Norway","",0
"461","Sweden","Transit",6.88545
"462","Sweden","Food",20.93455
"463","Sweden","Sim",0
"464","Sweden","Taxi",0
"465","Sweden","Massage",0
"466","Sweden","Bus",0
"467","Sweden","Accommodation",13.2145
"468","Sweden","Internet",0
"469","Sweden","Laundry",0
"470","Sweden","Tour",0
"471","Sweden","Supplies",1.763385
"472","Sweden","Rental",0
"473","Sweden","Alcohol",0
"474","Sweden","Fees",0
"475","Sweden","Gas",0
"476","Sweden","Entry",0
"477","Sweden","ATM",0
"478","Sweden","Gym",5.564
"479","Sweden","Bathroom",0
"480","Sweden","Gambling",0
"481","Sweden","Tip",0
"482","Sweden","Gift",0
"483","Sweden","",0
"484","South Africa","Transit",1.29550804347826
"485","South Africa","Food",9.87255763913043
"486","South Africa","Sim",0.982934782608696
"487","South Africa","Taxi",6.72327391304348
"488","South Africa","Massage",0
"489","South Africa","Bus",5.09160217391304
"490","South Africa","Accommodation",5.81736304347826
"491","South Africa","Internet",0.55044347826087
"492","South Africa","Laundry",0.511126086956522
"493","South Africa","Tour",10.0259347826087
